system:index,tropospheric_HCHO_column_number_density,.geo,latitude,longitude,cluster
0,9.34317702800766e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,6.782280395102387]}",6.782280395102387,93.82903142628402,-1
1,9.19583543513886e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,6.872111923514339]}",6.872111923514339,93.82903142628402,-1
2,7.998972274205216e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,6.961943451926292]}",6.961943451926292,93.82903142628402,-1
3,8.625610610887938e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.91886295469597,6.961943451926292]}",6.961943451926292,93.91886295469597,-1
4,8.493962832132946e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.73919989787207,7.0517749803382435]}",7.0517749803382435,93.73919989787207,-1
5,7.142504833456157e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,7.0517749803382435]}",7.0517749803382435,93.82903142628402,-1
6,8.781891488291763e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.73919989787207,7.141606508750196]}",7.141606508750196,93.73919989787207,-1
7,7.268023276172248e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82903142628402,7.141606508750196]}",7.141606508750196,93.82903142628402,-1
8,8.60156473763903e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.6493683694601,7.3212695655741]}",7.3212695655741,93.6493683694601,-1
9,9.797166764225158e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.37987378422426,7.950090264457765]}",7.950090264457765,93.37987378422426,-1
10,8.009247011271572e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.55953684104816,7.950090264457765]}",7.950090264457765,93.55953684104816,-1
11,0.00013939145084863175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,8.129753321281669]}",8.129753321281669,77.38986172689677,0
12,0.00013236833499400517,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,8.129753321281669]}",8.129753321281669,77.47969325530873,0
13,0.00012739229353779272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,8.129753321281669]}",8.129753321281669,77.56952478372068,0
14,9.809294646219416e-05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.46970531263621,8.129753321281669]}",8.129753321281669,93.46970531263621,-1
15,0.00015625434927122483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21019867007287,8.219584849693621]}",8.219584849693621,77.21019867007287,0
16,0.0001362747250607757,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30003019848482,8.219584849693621]}",8.219584849693621,77.30003019848482,0
17,0.0001301063666612919,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38986172689677,8.219584849693621]}",8.219584849693621,77.38986172689677,0
18,0.00013057703695279417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.47969325530873,8.219584849693621]}",8.219584849693621,77.47969325530873,0
19,0.00012731231509585753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56952478372068,8.219584849693621]}",8.219584849693621,77.56952478372068,0
20,0.0001274890357741402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65935631213263,8.219584849693621]}",8.219584849693621,77.65935631213263,0
