frp,hcho
1.23,0.0001162458296953287
1.23,0.00011531031659902528
1.23,0.00011531031659902528
1.23,0.0001162458296953287
1.23,0.0001162458296953287
1.23,0.00011531031659902528
1.23,0.0001162458296953287
1.23,0.0001162458296953287
1.23,0.0001162458296953287
0.88,0.0001202673187316249
0.88,0.0001202673187316249
0.88,0.0001202673187316249
0.88,0.0001202673187316249
0.88,0.0001202673187316249
0.88,0.0001202673187316249
0.88,0.00014024893013158722
0.88,0.0001202673187316249
0.88,0.0001202673187316249
0.81,0.00010337899709027813
0.81,0.00010337899709027813
0.81,0.00010337899709027813
0.81,0.00010337899709027813
0.81,0.00010337899709027813
0.81,0.00010337899709027813
0.81,0.00010337899709027813
0.81,0.00010337899709027813
0.81,0.00010337899709027813
0.69,0.00011033042808690968
0.69,0.00011033042808690968
0.69,0.00011033042808690968
0.69,0.00011033042808690968
0.69,0.00011033042808690968
0.69,0.00011033042808690968
0.69,0.00011033042808690968
0.69,0.00011033042808690968
0.69,0.00011033042808690968
2.35,7.754599353578453e-05
2.35,7.754599353578453e-05
2.35,7.754599353578453e-05
2.35,7.754599353578453e-05
2.35,7.754599353578453e-05
2.35,7.754599353578453e-05
2.35,7.754599353578453e-05
2.35,7.754599353578453e-05
2.35,7.754599353578453e-05
7.18,7.370471908552467e-05
7.18,7.370471908552467e-05
7.18,7.370471908552467e-05
7.18,7.370471908552467e-05
7.18,7.370471908552467e-05
7.18,7.370471908552467e-05
10.0,0.00012225865485101026
10.0,0.00012225865485101026
10.0,0.00012225865485101026
10.0,0.00012225865485101026
10.0,0.00012225865485101026
10.0,0.00012225865485101026
10.0,0.00012225865485101026
10.0,0.00012225865485101026
10.0,0.00012225865485101026
2.67,0.0001329142123351602
2.67,0.0001329142123351602
2.67,0.0001329142123351602
2.67,0.0001329142123351602
2.67,0.0001329142123351602
2.67,0.0001329142123351602
2.67,0.0001329142123351602
2.67,0.0001329142123351602
2.67,0.0001329142123351602
3.42,0.00015629623317407466
3.42,0.00015629623317407466
3.42,0.00015629623317407466
3.42,0.00015629623317407466
3.42,0.00015629623317407466
3.42,0.00015629623317407466
5.01,8.636402666379037e-05
5.01,8.636402666379037e-05
5.01,8.636402666379037e-05
5.01,8.636402666379037e-05
5.01,8.636402666379037e-05
5.01,8.636402666379037e-05
2.2,9.880680464138976e-05
2.2,9.880680464138976e-05
2.2,9.880680464138976e-05
2.2,9.880680464138976e-05
2.2,9.880680464138976e-05
2.2,9.880680464138976e-05
2.2,9.880680464138976e-05
2.2,9.880680464138976e-05
2.2,9.880680464138976e-05
4.81,7.280022457366795e-05
4.81,7.280022457366795e-05
4.81,7.280022457366795e-05
4.81,7.280022457366795e-05
5.52,7.280022457366795e-05
5.52,7.280022457366795e-05
5.52,7.280022457366795e-05
4.81,7.280022457366795e-05
4.81,7.280022457366795e-05
7.73,7.280022457366795e-05
7.73,7.280022457366795e-05
7.73,7.280022457366795e-05
5.52,7.280022457366795e-05
4.81,7.280022457366795e-05
4.81,7.280022457366795e-05
7.73,7.280022457366795e-05
7.73,7.280022457366795e-05
7.73,7.280022457366795e-05
5.52,7.280022457366795e-05
2.6,7.280022457366795e-05
2.6,7.280022457366795e-05
2.6,7.280022457366795e-05
2.6,7.280022457366795e-05
2.6,7.280022457366795e-05
2.6,7.280022457366795e-05
2.6,7.280022457366795e-05
2.6,7.280022457366795e-05
2.6,7.280022457366795e-05
1.82,4.839322612911759e-05
